Condition Concept ID,Condition Name,Drug Concept ID,Drug Concept Name,Ground Truth (1-postive control; 0-negative control),DailyMed URL to Structured Product Label (SPL),Tisdale level of evidence,ATC class name,Indication Name,Comparator Drug Name,# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR),# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR),# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR),# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR),# of persons exposed,Average length of exposure,Expected case count,Minimum detectable relative risk (MDRR)
500000401,Acute kidney injury,974166,Hydrochlorothiazide,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=01f1f478-5493-439f-9b99-f4f82023781c,B,CARDIOVASCULAR SYSTEM,Hypertension,Diltiazem,113880,390.28,1224.13,1.08,495696,367.8,17360.43,1.02,1358986,661.02,60197.78,1.01,3106679,517.61,19503.23,1.02,1177346,357.16,2693.44,1.05
500000401,Acute kidney injury,1177480,Ibuprofen,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0396bfec-afe1-460c-8141-e8ad877b4bc0,A,CARDIOVASCULAR SYSTEM,Pain,Promethazine,101674,34.92,521.1,1.13,1348018,32.28,10298.61,1.03,232090,89.91,9790.14,1.03,2567403,36.33,7905.27,1.03,823404,107.83,813.17,1.1
500000401,Acute kidney injury,1185922,Ketoprofen,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c2c99853-1268-4998-a44b-2bf0c0b70fd2,A,MUSCULO-SKELETAL SYSTEM,Pain,Acetaminophen,2508,55.41,17.2,1.79,17204,55.66,275.18,1.18,10246,216.8,426.9,1.14,66743,74.45,275.37,1.18,21665,126.62,23.78,1.66
500000401,Acute kidney injury,1136980,Ketorolac,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2837a082-3a34-6f81-5e43-45a70295686b,A,MUSCULO-SKELETAL SYSTEM,Severe Pain,ziconotide,46637,7.22,310.85,1.17,295923,8.45,5109.46,1.04,226147,27.01,11221.96,1.03,1160808,7.31,4260.8,1.04,74034,56.12,79.78,1.34
500000401,Acute kidney injury,1308216,Lisinopril,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=46f17ba7-a78c-4a9e-7597-27654f097bd3,B,CARDIOVASCULAR SYSTEM,Hypertension,Amlodipine,58934,370.81,710.65,1.11,356346,353.64,14030.89,1.02,928009,567.82,45136.16,1.01,1800198,467.56,12147.99,1.03,876685,315.94,2175.49,1.06
500000401,Acute kidney injury,1197736,Mefenamate,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=62bd8d9d-0806-4e8d-a6e1-e7dddc2b5404,A,MUSCULO-SKELETAL SYSTEM,Dysmenorrhea,Acetaminophen,1306,14.51,3.26,3.15,5933,14.88,27.74,1.6,107,85.73,3.34,3.12,35516,18.51,39.77,1.49,6895,131.61,1.78,4.21
500000401,Acute kidney injury,1115008,Naproxen,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=577b9f26-ab59-4b15-a26a-465f0d255bad,A,MUSCULO-SKELETAL SYSTEM,Pain,Acetaminophen,87218,55.72,583.28,1.12,735412,62.71,10809.99,1.03,305812,129.92,13120.02,1.02,2544144,53.7,9123.97,1.03,614828,121,762.26,1.1
500000401,Acute kidney injury,1312742,Olmesartan medoxomil,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4a9c6e0e-72dd-4ed4-a8bb-8a6aee506681,B,CARDIOVASCULAR SYSTEM,Hypertension,Lisinopril,14285,336.08,159.47,1.23,31682,291.61,1158.89,1.08,131118,522.42,5729.24,1.04,343888,423.66,2222.48,1.06,116223,253.42,275.33,1.18
500000401,Acute kidney injury,1146810,Piroxicam,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4a6445cf-8ac8-41fb-9de9-f3cf81343022,A,MUSCULO-SKELETAL SYSTEM,Osteoarthritis,nabumetone,5610,96.17,49.07,1.44,52211,106.32,1268.88,1.08,42452,204.71,1785.09,1.07,210711,102.97,1035.33,1.09,50545,183.49,73.4,1.35
500000401,Acute kidney injury,1351557,candesartan,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a73e1339-9643-4eea-2cbe-e879c88fb50e,B,CARDIOVASCULAR SYSTEM,Hypertension,Lisinopril,3091,395.58,37.75,1.51,12296,388.52,509.58,1.13,51542,685.9,2364.87,1.06,88495,544.26,628.78,1.11,41185,275.17,110.19,1.28
500000401,Acute kidney injury,1150345,meloxicam,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4EC9BF84-D0B0-4092-8E3D-C67CCFB2780B,A,MUSCULO-SKELETAL SYSTEM,Osteoarthritis,nabumetone,23516,109.04,212.59,1.2,63462,123.79,2052.43,1.06,206466,258.27,8923.54,1.03,713662,134.62,3921.13,1.05,173229,156.51,314.16,1.16
500000401,Acute kidney injury,1310756,moexipril,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e16c2ad3-1ce5-48fc-96b2-5d63dc6b68d5,B,CARDIOVASCULAR SYSTEM,Hypertension,Amlodipine,838,406.17,8.8,2.17,7144,385.34,290.99,1.17,23144,522.41,1110.25,1.09,42892,461.1,277.71,1.18,17569,314.91,42.17,1.48
500000401,Acute kidney injury,1118045,oxaprozin,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=18c897d3-47c2-461a-a0e7-0926453d45e3,A,MUSCULO-SKELETAL SYSTEM,Osteoarthritis,meloxicam,4523,76.23,36.33,1.52,19004,98.08,435.77,1.14,23697,232.46,941.6,1.09,141735,98.55,681.29,1.11,33683,151.31,50.37,1.43
500000401,Acute kidney injury,1317640,telmisartan,1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cfb9309f-e0df-4a55-9542-0e869fce05fb,B,CARDIOVASCULAR SYSTEM,Hypertension,Lisinopril,5120,303.4,58.57,1.4,16434,303.56,616.64,1.12,45566,551.92,2046.54,1.06,108629,413.2,715.3,1.11,43584,251.16,107.74,1.29
500000401,Acute kidney injury,1529331,Acarbose,0,,N,ALIMENTARY TRACT AND METABOLISM,Type 2 Diabetes Mellitus,Metformin,483,270.39,6.02,2.47,3459,346.56,145.54,1.25,6520,446.83,314.74,1.16,10197,284.39,75.53,1.35,5368,241.04,13.59,1.9
500000401,Acute kidney injury,1309204,Adenosine,0,,N,CARDIOVASCULAR SYSTEM,Paroxysmal Supraventricular Tachycardia,Phenylephrine,8453,0.86,120.25,1.27,48616,0.12,2069.86,1.06,243784,0.04,12884.68,1.02,184591,0.14,1613.54,1.07,9736,0.38,36.83,1.52
500000401,Acute kidney injury,919204,Amylases,0,,N,,Pancreatic Insufficiency,Metronidazole,1494,198.13,15.1,1.85,12393,289.19,367.19,1.15,16598,319.91,814.92,1.1,31761,218.77,174.51,1.22,13022,191.6,27.49,1.61
500000401,Acute kidney injury,917006,Benzocaine,0,,N,ALIMENTARY TRACT AND METABOLISM,Sore Throat,Chlorpheniramine,4405,11.74,13.28,1.92,133726,12.04,362.48,1.15,11090,12.25,515.26,1.13,239145,10.32,271.12,1.18,94592,66.65,33.25,1.54
500000401,Acute kidney injury,1390051,Chlorambucil,0,,N,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Chronic Lymphoid Leukemia,Prednisone,101,33.66,1.2,5.19,748,72.95,25.3,1.63,2866,143.42,181.49,1.22,1756,75.83,11.62,1.99,769,110.57,3.03,3.26
500000401,Acute kidney injury,790253,Chlorazepate,0,,N,NERVOUS SYSTEM,Anxiety,Midazolam,1857,196.69,15.47,1.84,14228,255.29,408.41,1.14,19984,414.62,827.56,1.1,55427,211.7,287.06,1.17,11849,280.94,24.65,1.64
500000401,Acute kidney injury,800878,Clozapine,0,,N,NERVOUS SYSTEM,Treatment-Resistant Schizophrenia,Thioridazine,1002,736.84,6.29,2.43,9843,795.46,222.39,1.2,695,580.35,30.58,1.57,2743,583.14,8.83,2.17,3415,106.45,3.62,3.01
500000401,Acute kidney injury,19008009,Cosyntropin,0,,N,"SYSTEMIC HORMONAL PREPS,EXCL SEX HORMONES & INSULN",Acute Adrenocortical Insufficiency,Corticotropin,395,1.24,2.45,3.59,1076,1.84,20.18,1.72,1534,1.22,76.15,1.35,8787,1.12,33.35,1.54,929,15.5,1.17,5.27
500000401,Acute kidney injury,1311409,Dacarbazine,0,,N,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Hodgkin's Lymphoma,Vinblastine,110,90.12,0.7,7.13,549,73.27,11.31,2.01,808,61.38,41.36,1.48,2668,93.31,11.16,2.01,59,45.95,0.08,34.26
500000401,Acute kidney injury,924724,Dicyclomine,0,,N,ALIMENTARY TRACT AND METABOLISM,Irritable Bowel Syndrome,homatropine,15301,53.06,101.18,1.3,122806,65.87,2011.37,1.06,78698,131.91,3362.11,1.05,383327,58.64,1404.29,1.08,88089,154.67,116.32,1.28
500000401,Acute kidney injury,735850,Disulfiram,0,,N,NERVOUS SYSTEM,Alcoholism,acamprosate,364,135.8,2.64,3.47,2956,144.32,61.92,1.39,970,189.38,32.06,1.56,16188,120.71,64.67,1.38,3826,168.17,3.36,3.11
500000401,Acute kidney injury,931973,Endopeptidases,0,,N,,Pancreatic Insufficiency,Metronidazole,1494,198.13,15.1,1.85,12393,289.19,367.19,1.15,16598,319.91,814.92,1.1,31761,218.77,174.51,1.22,13024,191.58,27.5,1.61
500000401,Acute kidney injury,1145379,Ergotamine,0,,N,NERVOUS SYSTEM,Vascular Headache,Acetaminophen,641,130.21,4.98,2.65,2399,59.96,33.3,1.54,3541,216.56,119.04,1.27,19565,134.46,94.74,1.31,7249,193.3,8.76,2.17
500000401,Acute kidney injury,954853,Flavoxate,0,,N,GENITO URINARY SYSTEM AND SEX HORMONES,Dysuria,Phenazopyridine,669,22.72,4.41,2.78,4277,69.91,116.63,1.28,4941,67.53,246.12,1.19,16033,26.08,65.64,1.38,4131,106.15,6.24,2.44
500000401,Acute kidney injury,1356461,Flutamide,0,,N,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Advanced Prostatic Carcinoma,Leuprolide,127,71.72,1.58,4.47,667,113.61,23.51,1.66,3504,290.64,278.67,1.17,1967,109.93,12.16,1.96,1109,126.2,5.12,2.62
500000401,Acute kidney injury,1763779,Griseofulvin,0,,N,DERMATOLOGICALS,Tinea Barbae,Tolnaftate,7559,45.53,17.3,1.79,191655,43.63,331.93,1.16,5766,62.75,276.49,1.18,128023,44.5,200.11,1.21,17574,76.1,5.47,2.56
500000401,Acute kidney injury,923672,Hyoscyamine,0,,N,ALIMENTARY TRACT AND METABOLISM,Dysuria,Flavoxate,17936,50.27,124.93,1.27,174691,45.49,2032.69,1.06,121512,104.61,5518.31,1.04,591779,53.04,2150.98,1.06,129391,141.39,164.44,1.23
500000401,Acute kidney injury,778268,Imipramine,0,,N,NERVOUS SYSTEM,Nocturnal Enuresis,desmopressin,1751,256.77,12.93,1.93,35825,228.61,443.47,1.14,22289,371.72,1056.15,1.09,64682,286.1,251.3,1.18,15952,200.59,24.77,1.64
500000401,Acute kidney injury,985708,Ketoconazole,0,,N,ANTIINFECTIVES FOR SYSTEMIC USE,Tinea Corporis,butenafine,22410,34.96,157.1,1.24,291276,34.39,2861.43,1.05,131474,55.72,6783.31,1.03,677709,35.29,2329.1,1.06,127135,137.74,142.21,1.25
500000401,Acute kidney injury,986117,Ketotifen,0,,N,SENSORY ORGANS,Allergic Conjunctivitis,loteprednol etabonate,1109,42.28,7.9,2.24,22638,37.86,244.5,1.19,10943,71.57,493.33,1.13,46622,45.67,161.1,1.23,8218,121.57,8.03,2.23
500000401,Acute kidney injury,987245,Lactulose,0,,N,ALIMENTARY TRACT AND METABOLISM,Constipation,POLYETHYLENE GLYCOL 3350,5620,84.51,51.63,1.43,62858,108.47,1700.72,1.07,75873,116.53,4638.33,1.04,94830,71.03,421.03,1.14,28472,142.6,68.09,1.37
500000401,Acute kidney injury,990760,Lipase,0,,N,,Pancreatic Insufficiency,Metronidazole,1494,198.13,15.1,1.85,12393,289.19,367.19,1.15,16598,319.91,814.92,1.1,31761,218.77,174.51,1.22,13022,191.6,27.49,1.61
500000401,Acute kidney injury,1107830,Loratadine,0,,N,RESPIRATORY SYSTEM,Allergic Rhinitis,fluticasone,26391,120.82,137.23,1.25,1006814,97.34,9847.41,1.03,11513,112.38,503.19,1.13,86000,107.16,267.99,1.18,563728,156.94,574.44,1.12
500000401,Acute kidney injury,1794280,Mebendazole,0,,N,"ANTIPARASITIC PRODUCTS, INSECTICIDES & REPELLENTS",Enterobiasis,Pyrantel,2588,9.85,7.62,2.27,70735,7.81,159.14,1.23,2264,8.33,91.1,1.32,107298,9.77,122.89,1.27,16616,65.24,4.89,2.67
500000401,Acute kidney injury,904356,Methenamine,0,,N,ANTIINFECTIVES FOR SYSTEMIC USE,Urinary Tract Infections,Trimethoprim,1664,33.8,13.39,1.91,13635,60.35,322.52,1.16,17508,92.48,874.21,1.1,61302,28.73,260.88,1.18,11506,113.7,19.2,1.74
500000401,Acute kidney injury,704943,Methocarbamol,0,,N,MUSCULO-SKELETAL SYSTEM,Muscle Spasm with Pain,Codeine,11619,45.28,82.51,1.33,110370,63.89,2142.36,1.06,71067,79.96,3084.13,1.05,411687,48.32,1701.51,1.07,83837,127.07,105.85,1.29
500000401,Acute kidney injury,907879,Miconazole,0,,N,ANTIINFECTIVES FOR SYSTEMIC USE,Vulvovaginal Candidiasis,Fluconazole,6065,16.33,22.18,1.68,69753,16.94,758.71,1.1,2809,38.89,146.35,1.25,19417,24.03,33.39,1.54,25784,85.75,27.46,1.61
500000401,Acute kidney injury,1715472,Nelfinavir,0,,N,ANTIINFECTIVES FOR SYSTEMIC USE,HIV Infection,Lamivudine,608,354.39,4.07,2.87,4754,351.54,84.19,1.33,103,611.33,2.91,3.32,3168,431.95,10.9,2.03,2293,342.98,1.71,4.28
500000401,Acute kidney injury,717136,Neostigmine,0,,N,NERVOUS SYSTEM,Urinary Retention,Atropine,3785,0.08,22.67,1.68,22056,0.72,294.79,1.17,8179,4.84,367.26,1.15,65430,0.37,254.73,1.18,67,134.06,0.22,15.75
500000401,Acute kidney injury,721724,Nortriptyline,0,,N,NERVOUS SYSTEM,Depression,Bupropion,5384,192.44,40.18,1.49,44504,187.94,1077.35,1.09,47589,326.6,2112.71,1.06,180010,226.58,767.56,1.1,60817,213.95,93.02,1.31
500000401,Acute kidney injury,1727443,Paromomycin,0,,N,ALIMENTARY TRACT AND METABOLISM,Acute Intestinal Amebiasis,Neomycin,67,18.58,0.52,8.62,336,21.96,3.88,2.93,69,12.46,2.9,3.32,1145,14.71,3.74,2.97,441,63.63,0.36,11.03
500000401,Acute kidney injury,1729720,Penicillin V,0,,N,ANTIINFECTIVES FOR SYSTEMIC USE,Pharyngitis,Cefaclor,58385,14.34,325.76,1.16,569980,16.57,4744.97,1.04,210310,15.12,10028.83,1.03,1951831,12.24,6054.26,1.04,40435,56.31,14.59,1.87
500000401,Acute kidney injury,735340,Phentermine,0,,N,ALIMENTARY TRACT AND METABOLISM,Obesity,sibutramine,2770,133.69,15.33,1.84,79,67.95,1.11,5.44,4423,187.62,109.66,1.29,108231,142.97,315.19,1.16,39052,151.48,21.8,1.69
500000401,Acute kidney injury,1335539,Phentolamine,0,,N,CARDIOVASCULAR SYSTEM,Cerebral Ischemia,Pentobarbital,90,3.39,1.25,5.08,118,29.95,4.35,2.8,854,38.04,39.11,1.5,1795,29.97,17.42,1.78,27,79.89,0.06,43.61
500000401,Acute kidney injury,951279,Prilocaine,0,,N,NERVOUS SYSTEM,Regional Anesthesia for Postoperative Pain,Fentanyl,2901,25.89,15.82,1.83,17011,38.27,177.88,1.22,13436,76.7,588.05,1.12,90234,28.67,243.53,1.19,8627,129.11,8.06,2.23
500000401,Acute kidney injury,751347,Primidone,0,,N,NERVOUS SYSTEM,Tonic-Clonic Epilepsy,Ethotoin,740,394.95,10.44,2.06,9657,457.2,376.41,1.15,24252,489.53,1307.39,1.08,17986,402.65,134.29,1.26,13408,258.36,43.45,1.47
500000401,Acute kidney injury,752061,Prochlorperazine,0,,N,ALIMENTARY TRACT AND METABOLISM,Nausea and Vomiting,trimethobenzamide,13857,21.08,102.17,1.3,119311,25.13,2740.58,1.05,132748,22.95,6522.93,1.03,351045,17.11,1594.24,1.07,73633,103.2,132.18,1.26
500000401,Acute kidney injury,965748,Scopolamine,0,,N,ALIMENTARY TRACT AND METABOLISM,Motion Sickness,Promethazine,9074,24.2,69.46,1.36,14333,68.89,391.6,1.15,68502,49.08,3003.09,1.05,351180,24.81,1516.67,1.07,59824,115.79,80.24,1.34
500000401,Acute kidney injury,966991,Simethicone,0,,N,ALIMENTARY TRACT AND METABOLISM,Hiatal Hernia with Reflux Esophagitis,magnesium carbonate,1472,81.75,14.2,1.88,38794,50.12,746.23,1.11,138,62.62,7.98,2.24,456,31.81,2.26,3.73,40599,80.68,92.82,1.31
500000401,Acute kidney injury,990499,"Sodium Phosphate, Monobasic",0,,N,,Constipation,Lactulose,1066,40.79,7.32,2.3,19457,22.94,493.99,1.13,2257,30.38,104,1.29,13402,17.6,53.23,1.42,11496,81.53,24.02,1.65
500000401,Acute kidney injury,836715,Temazepam,0,,N,NERVOUS SYSTEM,Insomnia,Eszopiclone,15136,176.23,137.77,1.25,93353,184.52,2739.39,1.05,164533,263.59,8879.46,1.03,299343,153.7,1603.47,1.07,85955,200.04,203.28,1.21
500000401,Acute kidney injury,1037005,Tetrahydrocannabinol,0,,N,ALIMENTARY TRACT AND METABOLISM,Anorexia from HIV,Megestrol,581,111.16,6.33,2.42,6783,170.18,249.08,1.19,9439,70.11,537.17,1.12,12342,83.12,79.8,1.34,3926,139.06,8.53,2.19
500000401,Acute kidney injury,1837289,Thiabendazole,0,,N,"ANTIPARASITIC PRODUCTS, INSECTICIDES & REPELLENTS",Cutaneous Larva Migrans,Methylprednisolone,21,10.9,0.23,15.53,963,7.34,4.63,2.73,92,6.09,4.1,2.86,922,7.37,2.72,3.42,41,66.44,0.04,68.78
500000401,Acute kidney injury,700465,Thiothixene,0,,N,NERVOUS SYSTEM,Schizophrenia,Risperidone,252,446.46,2.38,3.64,4609,459.73,136.21,1.25,1143,599.17,47.43,1.45,3146,461.69,16.28,1.82,2134,191.22,3.5,3.06
500000401,Acute kidney injury,1702559,Tinidazole,0,,N,"ANTIPARASITIC PRODUCTS, INSECTICIDES & REPELLENTS",Trichomoniasis,Metronidazole,823,7.93,2.85,3.35,1863,5.95,10.26,2.07,383,17.58,12.58,1.95,16504,7.87,31.6,1.56,2024,56.7,0.91,6.11
500000401,Acute kidney injury,906914,Urea,0,,N,ALIMENTARY TRACT AND METABOLISM,Skin Rash,Betamethasone,6734,33.44,57.69,1.4,39204,38.47,1356.56,1.08,63691,41.53,3397.21,1.05,177142,37.06,818.7,1.1,34208,113.96,53.83,1.42
500000401,Acute kidney injury,19008339,Vitamin A,0,,N,ALIMENTARY TRACT AND METABOLISM,Vitamin Deficiency,Pyridoxal,1146,93.88,1.93,4.04,37626,83.26,133.77,1.26,186,144.36,9.62,2.11,22406,113.94,18.7,1.75,17988,95.91,25.56,1.63
500000401,Acute kidney injury,1103552,almotriptan,0,,N,NERVOUS SYSTEM,Migraine,Acetaminophen,1339,91.35,5.52,2.55,11972,48.17,128.96,1.26,983,168,25.99,1.63,45958,87.8,109.87,1.29,14763,163.04,7.57,2.28
500000401,Acute kidney injury,1136601,benzonatate,0,,N,RESPIRATORY SYSTEM,Cough,Guaifenesin,27611,17.73,205.56,1.2,131904,27.32,2378.05,1.06,206981,28.57,9604.71,1.03,998548,15.12,4049.86,1.04,255670,83.82,351.28,1.16
500000401,Acute kidney injury,1139179,bromfenac,0,,N,SENSORY ORGANS,Postoperative Ocular Pain,Acetaminophen,514,35.93,6.3,2.43,713,40.79,26.64,1.62,23898,48.5,1288.68,1.08,16355,39.01,124.11,1.27,2773,66.47,8.81,2.17
500000401,Acute kidney injury,1304643,darbepoetin alfa,0,,N,BLOOD AND BLOOD FORMING ORGANS,Anemia due to Renal Failure,Nandrolone,3062,66.27,36.88,1.51,9815,71.31,390.57,1.15,39710,107.64,2257.35,1.06,36964,76.11,278.4,1.17,10816,98.96,36.7,1.52
500000401,Acute kidney injury,916230,darifenacin,0,,N,GENITO URINARY SYSTEM AND SEX HORMONES,Urinary Urge Incontinence,oxybutynin,1430,143.26,16.85,1.8,5252,128.16,171.7,1.23,33452,238.75,1857.5,1.07,31084,191.48,195.54,1.21,18194,160.08,57.85,1.4
500000401,Acute kidney injury,1756831,darunavir,0,,N,ANTIINFECTIVES FOR SYSTEMIC USE,HIV Infection,Lamivudine,39,160.64,0.39,10.56,258,159.02,6.07,2.46,48,304.38,1.22,5.15,1016,268.06,5.01,2.64,405,214.91,0.43,9.77
500000401,Acute kidney injury,1189697,eletriptan,0,,N,NERVOUS SYSTEM,Migraine,Acetaminophen,4325,92.61,18.44,1.76,15715,54.44,159.8,1.23,2119,160.46,56.32,1.41,115257,104.76,270.73,1.18,34588,180.65,17.5,1.78
500000401,Acute kidney injury,1711246,entecavir,0,,N,ANTIINFECTIVES FOR SYSTEMIC USE,Chronic Type B Viral Hepatitis,adefovir,135,300.64,1.05,5.59,251,222.82,5.87,2.49,136,381.1,4.86,2.68,1962,340.98,7.97,2.24,336,148.77,0.48,9.16
500000401,Acute kidney injury,1396012,ferrous gluconate,0,,N,BLOOD AND BLOOD FORMING ORGANS,Iron Deficiency Anemia,Docusate,166,80.56,0.74,6.88,3510,97.72,72.77,1.36,77,76.18,4.17,2.84,186,62.15,0.75,6.85,43399,104.5,92.48,1.31
500000401,Acute kidney injury,1189458,frovatriptan,0,,N,NERVOUS SYSTEM,Migraine,Acetaminophen,871,88.79,3.95,2.91,2802,44.09,29.03,1.59,655,147.11,17.83,1.77,33848,92.61,82.16,1.33,9811,146.33,5.17,2.61
500000401,Acute kidney injury,1789276,gatifloxacin,0,,N,ANTIINFECTIVES FOR SYSTEMIC USE,E. Coli Pyelonephritis,ertapenem,16175,14.48,153.2,1.24,94580,14.27,2939.74,1.05,281791,21.8,14939.98,1.02,480453,15.02,2341.92,1.06,44552,46.28,73.21,1.35
500000401,Acute kidney injury,937368,infliximab,0,,N,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,Rheumatoid Arthritis,Methotrexate,1600,30.57,11.48,2,3311,35.41,76.78,1.35,6072,39.54,215.21,1.2,28652,43.98,127.39,1.26,11070,100.3,19.45,1.74
500000401,Acute kidney injury,780369,metaxalone,0,,N,MUSCULO-SKELETAL SYSTEM,Muscle Spasm,Acetaminophen,22382,31.86,161.48,1.23,127123,55.08,2301.63,1.06,104085,69.41,4422.46,1.04,782713,38.04,3111.26,1.05,169309,104.23,189.59,1.21
500000401,Acute kidney injury,741530,orlistat,0,,N,ALIMENTARY TRACT AND METABOLISM,Obesity,Phentermine,1024,133.41,7.94,2.24,1010,166.85,19.92,1.73,7227,286.86,206.4,1.2,38475,163.44,187.38,1.22,23531,174.11,22.68,1.67
